Username,Title,Content,Rating,Date
Jonathan Birge,Worst car buying experience I've ever,Worst car buying experience I've ever had They try to automate everything but if one thing goes wrong you have no way to talk to a human They just tell you to go to the app but nobody answers the messages there It's like trying to buy a car from a really apathetic robot I tried to take deliver of my car today and ended up wasting half my day and came home with the same car I drove there with Add to that the fact that you have to drive a long distance to get to one of their dealerships and it's just infuriating they don't have better customer service and have such a cheap bush league purchasing experience,1,2024-11-26
Adam,Disappointing Experience with Tesla,Disappointing Experience with TeslaI have been thoroughly disappointed with Tesla s customer service and overall approach Their lack of response to issues is shocking getting in touch with someone who can actually help is nearly impossible and when you do they are extremely unhelpful Tesla also seems to raise prices whenever they wish with no regard for customers who have already placed orders or those who have been long term supporters of the brand This unpredictability makes it very difficult to trust or plan around their pricing To make matters worse Tesla is not regulated in the UK meaning there is no ombudsman or independent body to hold them accountable for their actions This leaves customers with little recourse when things go wrong For a company that claims to lead in innovation and customer experience they have a long way to go in terms of transparency accountability and support I cannot recommend Tesla based on my experience Their approach feels dismissive and unreliable which is not what you expect when purchasing a premium product,1,2024-11-25
Angry from Manchester,5 5 for the car 0 5 for the dealer,The car model 3 is excellent though feels a little cheap compared to ICE cars of a similar price It's enormous fun to drive and autopilot is awesome The after sales care is shocking They deny legal obligations to fix things and the warranty period is less than a Dacia which is surprising on a 50k car The things that go wrong are mostly niggles But you do need the warranty I think it would be better if they didn't pretend to have a dealer network for all the good they do I was expecting a proper company that stands behind their product That's not what you get,3,2024-11-18
John McLean,Utter Rubbish,Utter Rubbish 3 owner for the last 3 years Good start but the reliability went down hill rapidly Nav cameras and sensors would stop working repeatedly Trying to get a service was impossible customer service is appalling Getting rid in three weeks Never buying one of these clown cars again,1,2024-11-19
Andrew Haworth,Put a deposit on a cybertruck 4 years,Put a deposit on a cybertruck 4 years ago For the last 2 years I've been trying to contact Tesla for a refund but they never answer the phone When you login to your online account the option manage order takes you to a black screen with a message telling you to contact them on a telephone number I've been trying to contact them for 2 years and finally got through to them today after waiting over 20 minutes on the phone Let's hope that refund arrives cos I don't want to wait another 2 years to get through to someone It took 2 years cos sometimes I ran out of waiting time because I have a job to attend to and a family to look after and the waiting time has usually been longer than it was today Don't touch Tesla with a barge pole Hate to think how long it takes to get hold of them when something goes wrong with the car and I've heard rumours that things often go wrong with them,1,2024-11-20
Kevin O,Musk is the most embarrassing man that,Musk is the most embarrassing man that has ever lived Talking like an idiot is a commercial act of self harm The people who like Musk think that man made climate change is a hoax The people who drive electric cars don't It doesn't add up,1,2024-11-21
Ahmed Radm,Thanks for the office tomorrow so I can,Thanks for the office tomorrow so I can do it for you and you can do it for me and I can do it for you and you can do it for me and I can do it for you and,5,2024-11-23
Gill Beddows,John at Solihull,John at Solihull fantastic help which was not even his dept Was selling a Tesla when I went in unable to charge my Tesla He didn t refer me but came outside and helped me and yes just a purge of dirt but enough to have ruined my night out Need more johns in the world Hope that lovely guy buys the Tess you were selling him Gill Beddows a Tesla owner,5,2024-11-15
Daniel,Zero Customer Service,Cancelled my Model 3 order due to unforeseen circumstances within the 14 day window Almost a month later and they have still not refunded my 7000 deposit despite numerous calls emails and messages customer service simply doesn't bother to respond I'd have considered another Tesla once circumstances allow but based on this experience I will be staying well away from the brand and won't be recommending them to anyone,1,2024-11-19
Ben,Absolutely shocking customer service,Absolutely shocking customer service Contact them on the service app as that's how you should report a service request or request maintenance and you just get ignored or generic response for a reply Not good enough,1,2024-11-14
